instance_id,artist_name,track_hash,track_name,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,obtained_date,valence,music_genre
36281,Capcom Sound Team,1oglU4MH5wzak7Ap2L7oUM,終幕組曲【冒險の終わり】,11,0.0154,0.36200000000000004,429560,0.456,0.0241,D,0.258,-11.355,Minor,0.0376,117.634,4-Apr,0.332,Anime
78964,ayaka,1Cx0oizrbPnN23acLgyjSR,そこまで歩いていくよ,26,0.82,0.627,-1,0.35,0.0,G,0.125,-7.9510000000000005,Major,0.0291,135.937,4-Apr,0.17300000000000001,Anime
31517,Hachioji P,14EV2tDgyI8iVwIb869PnM,KiLLER LADY - Eight Mix,29,0.00857,0.643,234874,0.966,0.00331,A#,0.255,-3.9019999999999997,Minor,0.0442,131.982,4-Apr,0.912,Anime
29349,LiSA,17YVl4TzNHQlHIyokvt1TD,Bad Sweet Trap,18,0.007109999999999999,0.585,229147,0.991,2.47e-06,F,0.11,-2.8169999999999997,Minor,0.11699999999999999,?,4-Apr,0.58,Anime
84837,Hiroyuki Sawano,0zVdxqEWFSExDrkJfNBMqv,Call Your Name,50,0.0145,0.5670000000000001,268333,0.3,0.0,B,0.0687,-8.421,Minor,0.0291,141.819,4-Apr,0.196,Anime
84929,Kobasolo,144HpFmXHU7PUIvOu77l41,Haru ni yuraredo kimi omou,34,0.0142,0.612,253481,0.9390000000000001,8.590000000000001e-05,C#,0.11800000000000001,-2.427,Major,0.0689,149.007,4-Apr,0.6940000000000001,Anime
71650,Wonderful★opportunity!,18mT1Ld7MnmAhM6RkjcBwS,性悪オンナ・オンライン,18,0.0505,0.45,201000,0.9259999999999999,1.25e-05,C,0.34299999999999997,-2.8939999999999997,Major,0.23800000000000002,180.304,4-Apr,0.675,Anime
77420,Yoshihisa Hirano,13I8nqMjLQfdRcXMZ7mU0D,一騎討ち!,26,0.00023999999999999998,0.373,95507,0.9059999999999999,0.9470000000000001,C,0.34700000000000003,-7.224,Major,0.0744,155.939,4-Apr,0.588,Anime
30338,flumpool,1azZh6vKceb5M0GnLrEOBZ,Toutoi,17,0.0205,0.619,294437,0.596,2.45e-06,C#,0.106,-7.063,Major,0.0256,?,4-Apr,0.483,Anime
40635,μ's,19FW4xVQLrecqBazAhuiMT,COLORFUL VOICE,21,0.12,0.634,-1,0.975,0.0,F,0.35600000000000004,-3.306,Minor,0.0774,?,4-Apr,0.67,Anime
55957,Austin Wintory,141P7NlXMEOGbaJIrvGqvi,Ichthyosaurus Communis,27,0.8009999999999999,0.435,121683,0.361,0.917,F,0.0844,-14.587,Minor,0.0302,108.104,4-Apr,0.491,Anime
36656,Aimer,1A8SxnqRK3qabmuN2qxIpa,Kanashimiha Aurorani,26,0.0976,0.5,264960,0.5529999999999999,0.0,D,0.318,-5.327000000000001,Major,0.0258,145.97299999999998,4-Apr,0.387,Anime
31430,Nobuo Uematsu,15NEIBMCFHg6UElFbxQuph,Edgar & Sabin's Theme,25,0.769,0.44,155133,0.109,0.86,B,0.205,-12.790999999999999,Major,0.033,89.70200000000001,4-Apr,0.24,Anime
27920,Nobuo Uematsu,16Ey5i7w0pkgyGnSRkSRGE,Residents,22,0.622,0.888,188667,0.302,0.8640000000000001,A#,0.0568,-10.192,Major,0.0582,105.02600000000001,3-Apr,0.46299999999999997,Anime
41190,empty_field,1CmskiDGOhXuu7px6sdaIL,The Tears Turn To A Rainbow,21,0.0224,0.539,-1,0.8540000000000001,0.0,A,0.121,-3.012,Major,0.0299,93.99,4-Apr,0.56,Anime
49589,UMETORA,17UvqEUnFxX3jyLAqiIsCw,ANIMAる,28,0.0011,0.6609999999999999,181000,0.905,0.00018,C,0.33,-2.94,Major,0.0551,135.958,4-Apr,0.679,Anime
52401,Capcom Sound Team,1B4gJRq61xTs6r1O0Uq2iY,The Library,17,0.139,0.226,-1,0.0501,0.7509999999999999,G#,0.12300000000000001,-19.997,Major,0.0455,?,4-Apr,0.0325,Anime
60409,Shiro Sagisu,17kb0GRFY45a2Z6JFbVBQO,The Longest Day III,18,0.122,0.287,134213,0.456,0.945,A,0.102,-10.166,Major,0.033,109.99700000000001,4-Apr,0.17800000000000002,Anime
31318,i☆Ris,1BP3qxUyPnCALVEM8TJkHA,もってけ!セーラーふく,27,0.0181,0.7070000000000001,258613,0.9159999999999999,0.223,A#,0.525,-4.0569999999999995,Minor,0.12300000000000001,?,4-Apr,0.841,Anime
52242,Ryuichi Sakamoto,1BYQ2ilaYWZsRtRgDGQLYI,The Seed And The Sower,22,0.953,0.39399999999999996,-1,0.0968,0.867,A#,0.309,-20.410999999999998,Major,0.11800000000000001,68.258,4-Apr,0.0556,Anime
37042,Hachioji P,12ICG4ARajR8WSmMeGENsM,Weekender Girl,33,0.111,0.5920000000000001,211128,0.9109999999999999,0.0,A,0.0661,-4.152,Major,0.0697,131.963,4-Apr,0.7859999999999999,Anime
89594,Mrs. GREEN APPLE,1dYo6OFnDvp41BeEnApTB6,道徳と皿,33,0.000752,0.38799999999999996,261933,0.902,6.29e-05,E,0.21899999999999997,-3.023,Major,0.113,?,4-Apr,0.381,Anime
24114,Hikaru Utada,11XW7ecJq62naTgwGmwJp7,HEART STATION,40,0.223,0.7020000000000001,276573,0.7759999999999999,1.7e-06,C#,0.147,-3.964,Minor,0.0294,105.00200000000001,4-Apr,0.368,Anime
76959,Noriyasu Takeuchi,1cXXHKH2kMDmtOEK73q6sf,届かないセレナーデ,15,0.991,0.523,259173,0.0631,0.9420000000000001,A,0.24600000000000002,-20.061,Minor,0.0525,76.837,4-Apr,0.149,Anime
74133,Aqua Timez,10CYzbQdAVRLYvs5zebdYS,Alones,46,0.000781,0.524,259933,0.958,0.0,A,0.306,-3.91,Minor,0.0682,92.84,4-Apr,0.505,Anime
88829,Maretu,17CykaB8Cx8N8p9PY5GaJy,Miseenen,22,0.0593,0.307,283718,0.895,0.0,A,0.0612,-3.915,Minor,0.136,155.94299999999998,4-Apr,0.397,Anime
60343,Cö Shu Nie,10RoNaGJJGJ1cclDyY2my3,Character,36,0.00385,0.223,148107,0.935,0.0,E,0.505,-3.031,Minor,0.201,178.356,4-Apr,0.244,Anime
59081,Nobuo Uematsu,10gaJgNJi2b8t9yqKtOSUF,Main Theme of Final Fantasy VII (Final Fantasy VII),40,0.9279999999999999,0.109,403493,0.13,0.87,D,0.0941,-15.702,Major,0.0383,78.686,4-Apr,0.0365,Anime
67559,THE ORAL CIGARETTES,11TOrxpq0MI56qbRCY8DKP,CATCH ME,34,0.00457,0.544,204811,0.9420000000000001,0.0,D,0.366,-2.9,Major,0.0615,91.984,4-Apr,0.665,Anime
78989,Ikimonogakari,18W5zInR15SLwOC54Mi3Co,Egao,29,0.184,0.555,-1,0.7559999999999999,0.0,D,0.086,-3.589,Major,0.0292,151.921,4-Apr,0.57,Anime
35971,04 Limited Sazabys,1C8VMfbSqTK6wXrmZ1MNkA,monolith,38,0.002,0.424,178520,0.965,0.0849,G#,0.135,-2.5980000000000003,Major,0.0864,109.215,4-Apr,0.541,Anime
