instance_id,artist_name,track_hash,track_name,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,obtained_date,valence,music_genre
31858,The Intruders,1SHeaHyx1NbME6hNqh7WhE,Sad Girl,34,0.451,0.32,113160,0.261,0.0,C,0.0816,-12.344000000000001,Major,0.0403,181.94799999999998,3-Apr,0.366,Blues
50602,Steely Dan,1UlTQp0mvyG3HLTfoRkgl5,Daddy Don't Live In That New York City No More,32,0.11800000000000001,0.843,195867,0.595,0.0,A,0.10099999999999999,-10.495999999999999,Major,0.0373,111.92399999999999,4-Apr,0.7929999999999999,Blues
60595,Susan Tedeschi,1t8Lfta3eUAF8ZPY7DzVvV,Lord Protect My Child,29,0.519,0.631,284440,0.474,0.00123,G#,0.102,-6.666,Major,0.0353,106.5,4-Apr,0.442,Blues
49873,Louis Prima,1QsAQ0GxKhEAMQnXTnxyd4,Angelina / Zooma Zooma - Live / Medley / Remastered 1999,41,0.742,0.5539999999999999,261720,0.6559999999999999,3.03e-06,C#,0.7859999999999999,-9.368,Major,0.37200000000000005,129.244,4-Apr,0.812,Blues
82708,Bo Diddley,1TTRXB5m5oV8hGGB4idxyp,Hey! Bo Diddley,31,0.648,0.659,130173,0.89,0.0,A,0.254,-13.698,Minor,0.0524,121.85700000000001,4-Apr,0.413,Blues
29777,Susan Tedeschi,1Wie4Gda6A3OKrz1TLZgWN,Talking About,23,0.263,0.503,-1,0.8,8.809999999999999e-05,E,0.114,-5.412999999999999,Minor,0.0582,139.001,4-Apr,0.594,Blues
47699,Santana,1wa25BuCtMePIYgf8sHkgY,Taboo,26,0.308,0.35200000000000004,334227,0.723,0.244,E,0.0716,-12.419,Minor,0.0711,?,4-Apr,0.415,Blues
32238,Tab Benoit,1QDcKeZQcAdF6vnYqGqAjJ,Shelter Me,35,0.212,0.7120000000000001,-1,0.493,4.37e-06,D,0.203,-11.094000000000001,Major,0.0359,92.916,4-Apr,0.6990000000000001,Blues
90687,Wilson Meadows,1VqtCja1PIj9cXhzO89A81,That's Still My Love,22,0.312,0.7190000000000001,202863,0.41600000000000004,1.36e-06,F,0.0425,-9.424,Major,0.0631,200.30599999999998,4-Apr,0.894,Blues
58644,Eric Clapton,1ppTRhpfunYl8Jd3Hfckee,Tears in Heaven,55,0.835,0.498,-1,0.242,0.536,A,0.133,-12.238,Major,0.0257,153.744,4-Apr,0.312,Blues
74677,Black Rebel Motorcycle Club,1wK02f0hF4SzTSkVW9fHXo,King of Bones,25,0.00446,0.486,236725,0.875,0.0864,B,0.0899,-5.695,Minor,0.0455,120.045,4-Apr,0.321,Blues
52622,The White Stripes,1Xrlr0CvpV1dFakpGJDzLI,"Honey, We Can't Afford to Look This Cheap",22,0.857,0.563,235227,0.34700000000000003,5.08e-06,F,0.313,-12.694,Major,0.0507,76.34899999999999,4-Apr,0.5760000000000001,Blues
53109,Phish,1U1mJ2kStcsHlt71m8TRI3,Twist,29,0.0662,0.508,204733,0.763,0.000281,D,0.504,-7.854,Minor,0.0508,123.178,4-Apr,0.878,Blues
72867,Peter Frampton,1u76QuiZijwI5hClsGUYx5,Nassau/Baby I Love Your Way,35,0.405,0.527,350840,0.376,0.00025299999999999997,G,0.135,-9.901,Major,0.0299,134.864,4-Apr,0.342,Blues
49890,Gov't Mule,1QrOkHlQja219lb7hNbyLa,Bad Little Doggie,33,0.0643,0.32899999999999996,-1,0.945,0.27,C#,0.7879999999999999,-4.494,Major,0.0726,102.71700000000001,4-Apr,0.5589999999999999,Blues
34112,Jeff Beck,2LRj8su5PjrGkbp3TZZG8D,"Purple Rain (feat. Jan Hammer, Beth Hart, Rosie Bones, Jimmy Hall & Steven Tyler) - Live At The Hollywood Bowl",31,0.24100000000000002,0.33299999999999996,400760,0.769,0.00101,A,0.915,-4.0889999999999995,Major,0.0457,?,4-Apr,0.33,Blues
