instance_id,artist_name,track_hash,track_name,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,obtained_date,valence,music_genre
32894,Röyksopp,1GkAK6lX1NKI51YmMy7oR0,Röyksopp's Night Out,27,0.00468,0.652,-1,0.941,0.792,A#,0.115,-5.2010000000000005,Minor,0.0748,100.889,4-Apr,0.759,Electronic
46652,Thievery Corporation,1h9Bx0bcEIfiv31E2G58Hf,The Shining Path,31,0.0127,0.622,218293,0.89,0.95,D,0.124,-7.042999999999999,Minor,0.03,115.00200000000001,4-Apr,0.531,Electronic
30097,Dillon Francis,1I79Xq5PwpJDvrpZSdE9Tw,Hurricane,28,0.0030600000000000002,0.62,215613,0.755,0.0118,G#,0.534,-4.617,Major,0.0345,127.994,4-Apr,0.33299999999999996,Electronic
62177,Dubloadz,0xrPBaSEFVxNG32xMN0z4x,Nitro,34,0.0254,0.774,166875,0.7,0.00253,C#,0.157,-4.498,Major,0.239,128.014,4-Apr,0.27,Electronic
24907,What So Not,0yXT8TYRajNOaQUiw0mGgs,Divide & Conquer,32,0.00465,0.638,222369,0.5870000000000001,0.909,F#,0.157,-6.266,Major,0.0413,145.036,4-Apr,0.32299999999999995,Electronic
89064,Axel Boman,0YVhEfhqunTtaAtcbCqjoB,Hello,47,0.005229999999999999,0.755,519468,0.731,0.8540000000000001,D,0.21600000000000003,-10.517000000000001,Minor,0.0412,?,4-Apr,0.614,Electronic
43760,Jordan Comolli,0vnWQqRGqMmFwqvtyMr8sZ,Clash,46,0.0289,0.5720000000000001,214408,0.8029999999999999,7.74e-06,B,0.106,-4.294,Major,0.35100000000000003,149.995,4-Apr,0.23,Electronic
30738,Hraach,0Ys7G6IgEGwb4deFbIHIrC,Delirio,43,0.0297,0.809,416132,0.706,0.903,G,0.0635,-9.339,Minor,0.0484,120.008,4-Apr,0.7609999999999999,Electronic
84950,Kayzo,0W5qBuHbbBfCzszFxrQWMc,NEVER ALONE,39,0.00299,0.509,292800,0.9209999999999999,0.000276,F,0.17800000000000002,-3.175,Minor,0.268,149.94799999999998,4-Apr,0.273,Electronic
56950,Shlump,1GOdautWhJextNtKyy7MIK,Lazer Beam,22,0.009340000000000001,0.578,204800,0.731,0.0112,A,0.111,-7.091,Minor,0.17300000000000001,139.933,4-Apr,0.203,Electronic
