instance_id,artist_name,track_hash,track_name,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,obtained_date,valence,music_genre
91521,Common,2lDzkXCmqGx9J17I0GlDsC,Glory (From the Motion Picture Selma),58,0.867,0.5670000000000001,272728,0.5870000000000001,0.0,A,0.13,-5.626,Minor,0.0417,83.046,4-Apr,0.5720000000000001,Hip-Hop
83851,Logic,2HxObeyVs9cFh0F08Q8vBV,Gang Related,67,0.209,0.597,167320,0.856,0.0159,A#,0.278,-7.0889999999999995,Minor,0.0431,131.95,4-Apr,0.7709999999999999,Hip-Hop
51676,Huncho Jack,2IC0cKlmDwsgmi1zlVDbQk,Black & Chinese,68,0.00277,0.6629999999999999,172017,0.8420000000000001,0.000974,C#,0.12300000000000001,-4.152,Major,0.10099999999999999,159.132,4-Apr,0.34600000000000003,Hip-Hop
79721,Stitches,2kYDe95UATeXhuaEHhFJwb,Molly Cyrus,57,0.0966,0.778,-1,0.917,0.0,F#,0.11900000000000001,-5.269,Major,0.214,99.97,4-Apr,0.358,Hip-Hop
23114,Jacquees,2Zv9cKaT82kHOutvQmBUnD,"Feel It (feat. Rich Homie Quan, Lloyd)",56,0.0527,0.54,259918,0.555,0.0,E,0.413,-9.857999999999999,Minor,0.07200000000000001,?,4-Apr,0.155,Hip-Hop
45253,Three 6 Mafia,2xrRBqEanoBaA0tOgYy18V,Lolli Lolli (Pop That Body) - Explicit Album Version,50,0.0188,0.89,251373,0.946,0.000128,D,0.11,-5.672999999999999,Major,0.0489,120.0,4-Apr,0.872,Hip-Hop
39411,NAV,2whniZDjiTWSu8E4WvR4Km,I Don't Care,56,0.392,0.826,-1,0.426,1.67e-06,G#,0.172,-9.426,Major,0.23800000000000002,121.09299999999999,4-Apr,0.316,Hip-Hop
64528,Wisin & Yandel,2Xalun25oZG4hG93wD3STG,Estoy Enamorado,60,0.29600000000000004,0.782,271720,0.727,0.0,D#,0.0972,-6.074,Minor,0.0519,?,4-Apr,0.39799999999999996,Hip-Hop
88799,Ace Hood,32NuxpDVL7uwvr2omo5G9J,Amnesia,49,0.315,0.777,214256,0.478,0.0,C#,0.0979,-6.356,Major,0.0501,100.03399999999999,4-Apr,0.14,Hip-Hop
38021,Nio Garcia,2KpiSebbOdyR5vv3ocAMoj,Quiere Fumar - Remix,66,0.168,0.871,386880,0.687,1.36e-06,G#,0.0448,-5.19,Major,0.174,94.99600000000001,4-Apr,0.5920000000000001,Hip-Hop
88813,Daddy Yankee,2jRGYG8U5bJzWOH6FLuzvO,Limbo,73,0.0838,0.8059999999999999,224693,0.875,0.0019199999999999998,G,0.065,-3.8169999999999997,Major,0.08800000000000001,125.06299999999999,4-Apr,0.917,Hip-Hop
42270,Yung Lean,2Zo9es9luzoQHxL35qTPZj,Creep Creeps,57,0.142,0.67,144238,0.5489999999999999,3.1e-06,A,0.107,-7.497999999999999,Minor,0.292,160.094,4-Apr,0.31,Hip-Hop
48760,Fetty Wap,2jyX8CYnkVT9uxM9NMCIPK,Wake Up,59,0.172,0.647,-1,0.6729999999999999,0.0,F,0.223,-5.992000000000001,Major,0.17600000000000002,179.97099999999998,4-Apr,0.527,Hip-Hop
23978,Eminem,2jfHjFG4pT0bTTbvSDcOv6,Remind Me,66,0.13699999999999998,0.754,225173,0.8690000000000001,0.0,E,0.752,-3.843,Major,0.303,93.77,4-Apr,0.784,Hip-Hop
30306,Nas,2Wy6uQOX2y45ooKuQb7Q9B,White Label,54,0.475,0.565,178027,0.7170000000000001,0.0,B,0.193,-4.455,Minor,0.331,75.505,4-Apr,0.341,Hip-Hop
37579,G Herbo,2zLIP4R6Yt3afkyh7uhmar,Boww,52,0.221,0.545,182029,0.7929999999999999,0.0,D#,0.14400000000000002,-5.244,Minor,0.455,151.89,4-Apr,0.649,Hip-Hop
66959,$uicideBoy$,31SBMFpLi1x0KNlGenfnQ1,Rotten And Paralyzed In A Tropical Paradise,52,0.00626,0.863,151580,0.907,0.0506,C#,0.0719,-6.796,Minor,0.0476,130.037,4-Apr,0.5529999999999999,Hip-Hop
75587,DMX,2iftQA575wOPFU6VGU3XkJ,Where The Hood At,64,0.158,0.536,286267,0.946,0.0,F,0.368,-3.002,Minor,0.36,185.967,4-Apr,0.779,Hip-Hop
57436,Kevin Gates,2iNqKnmmXYGdG4XqZgeHRe,D U Down,61,0.0142,0.795,193687,0.597,0.0,C,0.3,-6.5920000000000005,Minor,0.263,128.907,4-Apr,0.457,Hip-Hop
30840,KB,2zgXceQhAc7kYye93OYCJ2,Tempo,49,0.0895,0.758,240517,0.685,0.0,C#,0.34,-6.013,Major,0.0348,111.088,4-Apr,0.36,Hip-Hop
75390,6LACK,2JQ0gKHlYkCPYgRCEPG80z,One Way (feat. T-Pain) - Bonus,66,0.73,0.425,286957,0.406,3.59e-06,E,0.107,-8.911,Minor,0.17600000000000002,184.06099999999998,4-Apr,0.124,Hip-Hop
84075,empty_field,2zUm7fGo5weawxH0igx0de,"Ball Like This (feat. Future, Wiz Khalifa & Kid Ink)",49,0.0664,0.736,221858,0.597,2.15e-06,G,0.0957,-6.002999999999999,Major,0.14800000000000002,?,4-Apr,0.40299999999999997,Hip-Hop
40112,Wisin & Yandel,2L3nFptzwy0jlVKSzXHjnL,Noche De Sexo,67,0.12,0.6509999999999999,205707,0.733,0.0,B,0.682,-5.343999999999999,Minor,0.245,?,4-Apr,0.499,Hip-Hop
30259,Just Juice,30cflV7UBFs3OlAMKrriga,Smooth,51,0.114,0.8390000000000001,137143,0.5379999999999999,0.00134,G#,0.17600000000000002,-9.078,Major,0.203,95.986,4-Apr,0.434,Hip-Hop
91601,Eminem,2WIznWX1q8Z5y2Xc69nQfB,"Rabbit Run - From ""8 Mile"" Soundtrack",52,0.00202,0.5660000000000001,190067,0.852,0.0,G#,0.15,-3.615,Major,0.316,95.375,4-Apr,0.35700000000000004,Hip-Hop
20009,Webbie,2WlzR9fjToD1RRIqiKVTqn,Six 12's (feat. Mouse On Tha Track),57,0.0276,0.667,241040,0.703,0.0,E,0.268,-5.347,Minor,0.152,85.476,4-Apr,0.518,Hip-Hop
83307,Felly,32mnjN5E4cGbaEogtZdHMh,Love of Mine,44,0.268,0.623,204167,0.41700000000000004,0.000204,C,0.22899999999999998,-13.142000000000001,Major,0.0413,143.91899999999998,4-Apr,0.253,Hip-Hop
72533,Fugees,2InPHWPle9Ip4KiuenhW8k,Ready or Not,66,0.21,0.601,226987,0.42200000000000004,0.0,A#,0.0839,-13.364,Minor,0.518,132.45600000000002,3-Apr,0.563,Hip-Hop
56701,Eminem,2WtlfB5eafvLCrRFHhhWH1,Lose Yourself - Soundtrack Version,52,0.00618,0.6990000000000001,321213,0.7390000000000001,1.42e-05,D,0.33799999999999997,-4.71,Major,0.263,171.399,4-Apr,0.0631,Hip-Hop
58008,50 Cent,2zxBBTq0UogUCcGkHiJMzV,Outta Control - Remix,49,0.0268,0.77,247973,0.5870000000000001,0.0,G#,0.0621,-5.99,Minor,0.265,92.009,4-Apr,0.574,Hip-Hop
61787,Young Dolph,2J8195fboRXXVyMpMNUuCN,I Think I Can Fly (feat. Snoop Dogg),62,0.000455,0.8759999999999999,250320,0.502,0.0,A,0.121,-6.474,Major,0.308,135.97299999999998,4-Apr,0.27,Hip-Hop
38034,Tory Lanez,2jBrvCTs02TneEd0IDSR6d,CuT me oFF (feat. NAV),62,0.266,0.705,124154,0.675,0.0,C#,0.31,-4.433,Major,0.184,139.91,4-Apr,0.11800000000000001,Hip-Hop
45617,SahBabii,2jXpiTuwwWbCSvpkKwCfwc,Army,62,0.027999999999999997,0.836,174385,0.62,0.00586,A,0.061,-8.51,Minor,0.051,134.003,4-Apr,0.47600000000000003,Hip-Hop
28550,Jagged Edge,2HuMQkNVpFIsur2cRWWQmX,Where the Party At,70,0.31,0.596,232573,0.6609999999999999,0.0,F,0.0847,-6.239,Minor,0.226,?,5-Apr,0.86,Hip-Hop
62371,Jaden Smith,2hcohLIysMxofYziluXCoX,Icon,78,0.222,0.7859999999999999,220996,0.82,0.0,A,0.575,-5.093,Minor,0.23199999999999998,119.98200000000001,4-Apr,0.49,Hip-Hop
87933,6LACK,2h3VovOKaebUKvhhdE0I5U,Pretty Little Fears (feat. J. Cole),82,0.711,0.611,240342,0.466,0.000264,A,0.0847,-11.360999999999999,Major,0.37200000000000005,192.08,4-Apr,0.223,Hip-Hop
67551,NAV,2xRyZfWe9bnRfH1ZfhYO98,Mariah,53,0.34299999999999997,0.42,162187,0.441,0.0,C,0.102,-10.115,Minor,0.107,72.54899999999999,4-Apr,0.484,Hip-Hop
43375,Tony Dize,2zVZuMxSr6WJzzVKjWH7yv,El Doctorado,51,0.0496,0.7190000000000001,264147,0.773,0.0,A#,0.29100000000000004,-6.272,Major,0.0377,120.01799999999999,4-Apr,0.759,Hip-Hop
85704,Frank Ocean,2w9K8zyrxcAwRKRti0BvFa,Facebook Story,59,0.878,0.632,68588,0.18,0.0,G,0.249,-20.55,Major,0.685,85.00399999999999,3-Apr,0.7040000000000001,Hip-Hop
21451,Meek Mill,2HCaIYjkvWSZzaSKUoOh3d,On Me (feat. Cardi B),76,0.0482,0.8640000000000001,225008,0.6659999999999999,0.0,C#,0.134,-5.525,Major,0.23399999999999999,132.12,4-Apr,0.5379999999999999,Hip-Hop
43738,Playboi Carti,2hZHwTgNbtZX1JIStmhdqg,Location,65,0.33,0.7170000000000001,168784,0.79,0.000125,B,0.518,-4.213,Major,0.2,125.98100000000001,4-Apr,0.375,Hip-Hop
79719,Lil Baby,2HsDGZOzNk0oDrqPiYAlT7,Global,71,0.106,0.672,169826,0.565,0.0,C#,0.113,-6.504,Major,0.441,163.827,4-Apr,0.313,Hip-Hop
