instance_id,artist_name,track_hash,track_name,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,obtained_date,valence,music_genre
61813,Jeezy,3sMJS4UXnp8NbRICoasNTZ,Hustlaz Ambition,51,0.000469,0.6829999999999999,219933,0.769,0.0022600000000000003,B,0.303,-7.108,Minor,0.22699999999999998,142.827,4-Apr,0.475,Rap
28170,Smino,3OFl93huukhhRNAdxI1IWX,L.M.F.,63,0.354,0.898,-1,0.677,4.85e-06,C#,0.449,-6.907,Major,0.36200000000000004,155.02,4-Apr,0.8640000000000001,Rap
69366,Kid Ink,3pROf3AwBDvr2LaGfpZFnT,F With U (feat. Ty Dolla $ign),61,0.4,0.578,179533,0.528,0.0,G#,0.149,-7.169,Major,0.27399999999999997,98.555,4-Apr,0.622,Rap
46274,Breaking Benjamin,3MAgQuClHcAV8E9CbeBS6f,I Will Not Bow,71,0.000192,0.5429999999999999,-1,0.9520000000000001,7.8e-06,G#,0.38,-3.65,Major,0.0668,107.94200000000001,4-Apr,0.591,Rap
83672,The Game,3PhVk0fizTXnOhxu9jYVe4,Sue You,17,0.00355,0.589,181441,0.721,0.0325,G,0.193,-12.145,Major,0.193,88.04899999999999,4-Apr,0.48,Rap
36622,Rob Zombie,3rmzOry93Q6CQuHKVyBTQm,Superbeast,61,0.000136,0.518,-1,0.975,0.8270000000000001,G#,0.42,-4.425,Major,0.0575,154.059,4-Apr,0.32,Rap
47716,NF,3nM1EJJ80pJGiG32WFfJxc,Wake Up,63,0.0789,0.682,232960,0.799,7.1e-06,F#,0.107,-6.16,Major,0.0718,105.021,4-Apr,0.038,Rap
76269,Josh A,3Slqc9I5VrWEBdoqqkodi2,John Wick,55,0.13,0.768,181025,0.7040000000000001,0.0,C#,0.19899999999999998,-5.657,Major,0.191,150.015,4-Apr,0.59,Rap
52388,empty_field,3PN0MAIMBt1MUGUAWaUPgF,Dukes of Hazzard,55,0.000608,0.76,128073,0.645,0.0,G,0.134,-4.988,Major,0.0377,139.941,4-Apr,0.133,Rap
36291,Machine Gun Kelly,3uZHcstQqFNqAmBop3jaUk,EST 4 Life,48,0.0021,0.657,172667,0.872,0.0,F,0.18899999999999997,-2.5980000000000003,Major,0.26,151.135,4-Apr,0.439,Rap
66463,Future,2V3KqsXKUuhzlfFygycCOu,First Off (feat. Travis Scott),85,0.013000000000000001,0.7340000000000001,228367,0.6829999999999999,0.0,C#,0.28,-6.105,Major,0.0776,162.03799999999998,4-Apr,0.445,Rap
25576,Logic,3NHXj1DBuoxA7HL0xfQAZC,Run It,61,0.21600000000000003,0.863,200800,0.815,0.0,B,0.0887,-6.242000000000001,Minor,0.23199999999999998,108.97200000000001,4-Apr,0.636,Rap
32844,Breaking Benjamin,3oXo5b276GoNWN3DODNIU1,Feed the Wolf,63,3.15e-05,0.4,198040,0.982,8.2e-05,G#,0.133,-2.147,Major,0.12300000000000001,155.046,3-Apr,0.384,Rap
44032,YG,3mAaeJNQku3iCi5vk3TZMc,Who Do You Love?,67,0.0281,0.6759999999999999,233507,0.415,0.0,A,0.0915,-9.752,Major,0.508,193.206,4-Apr,0.146,Rap
35196,Fabolous,3TYNyZF3ZuuBzellB8DAT2,Breathe,53,0.34,0.713,-1,0.91,0.0,A#,0.304,-5.586,Minor,0.282,83.02799999999999,4-Apr,0.51,Rap
77469,Chris Webby,3U0xbYGTtYZAUv3lEwPebJ,Knocked Down,51,0.0286,0.731,180006,0.872,0.000113,D,0.22,-6.34,Major,0.0772,112.023,4-Apr,0.556,Rap
78649,Waka Flocka Flame,3rxLtWYtvMcoiqYLkltswj,Chris Paul John Wall (feat. Jimmy Rocket & Leiffy Luciano),54,0.0702,0.777,-1,0.5579999999999999,0.0,C#,0.092,-8.838,Major,0.198,90.99600000000001,4-Apr,0.40700000000000003,Rap
20338,ScHoolboy Q,3OHdhLUobIIKskQHLJAaqe,Dope Dealer,60,0.048,0.7859999999999999,222147,0.569,0.0,C#,0.11900000000000001,-5.461,Major,0.125,82.027,4-Apr,0.28800000000000003,Rap
25193,21 Savage,2VMBwGv3XMZTwTBDObF8Wr,No Heart,74,0.136,0.9059999999999999,235040,0.444,6.440000000000001e-05,E,0.17300000000000001,-8.692,Minor,0.384,140.063,4-Apr,0.6779999999999999,Rap
62158,Falling In Reverse,3rSkiyzwE3oQXhvMqobU0e,Raised By Wolves,57,0.0346,0.368,204693,0.871,0.0,D,0.0599,-3.395,Minor,0.106,84.585,4-Apr,0.527,Rap
22936,Offset,2vbOgQhyCCxWGbv4XYzcOZ,Lick,79,0.172,0.9590000000000001,204516,0.539,0.0,E,0.10800000000000001,-6.611000000000001,Minor,0.0958,103.0,4-Apr,0.657,Rap
37690,Chris Webby,3r2Lm94CCdDJJ30BDh0vmV,Twist Again (La La La),56,0.0454,0.7390000000000001,260000,0.812,0.0,G#,0.205,-5.89,Major,0.0811,102.01799999999999,4-Apr,0.7509999999999999,Rap
73887,Travie McCoy,3M31S6f0z8S3nkFh3eS06W,Billionaire (feat. Bruno Mars),73,0.297,0.633,211160,0.6729999999999999,0.0,F#,0.20600000000000002,-6.403,Minor,0.258,86.77600000000001,4-Apr,0.659,Rap
48002,ALLBLACK,3Sz5eLR9IjH8nAALCLhTzZ,Road Run (feat. Shoreline Mafia),52,0.0148,0.843,200494,0.564,3.72e-06,C#,0.139,-8.494,Major,0.201,101.009,4-Apr,0.322,Rap
83784,Young Dolph,3NjZxOk8zwCzcBCf2YBAkZ,Play Wit Yo' Bitch,61,0.00476,0.784,310399,0.457,0.0,C#,0.25,-7.615,Major,0.314,75.961,4-Apr,0.281,Rap
70626,Trippie Redd,3MhdH8PxqH1FuQp3HBptUI,Fire Starter,66,0.0023,0.51,157500,0.7070000000000001,0.0,D#,0.436,-4.913,Minor,0.0675,147.85299999999998,4-Apr,0.318,Rap
58185,A$AP Mob,3RmqolQjZcv6JM1xPwZxux,Bahamas,56,0.135,0.586,195667,0.855,0.0,C#,0.754,-3.4810000000000003,Major,0.32299999999999995,80.105,4-Apr,0.5489999999999999,Rap
79344,Logic,3n24nqVZquv143SHulULZ2,I Am The Greatest,63,0.042,0.8009999999999999,202920,0.815,4.42e-06,B,0.0741,-4.81,Major,0.14800000000000002,?,4-Apr,0.37,Rap
36664,Josh A,3RpsjgOInuzQEDtcuXUM7v,Purge,55,0.611,0.7709999999999999,156458,0.868,0.0,D,0.382,-6.093999999999999,Major,0.214,134.936,4-Apr,0.502,Rap
30875,Playboi Carti,3Mwdm9TyrQrLkSXsSCXRxx,Long Time - Intro,66,0.284,0.47200000000000003,211773,0.86,0.0,E,0.83,-3.967,Minor,0.0451,144.07299999999998,4-Apr,0.366,Rap
52095,Aminé,3pvMAdmkEnMjhxY6lFkawT,DAPPERDAN (feat. G Herbo),58,0.18,0.679,172013,0.528,5.47e-06,D,0.135,-7.372000000000001,Major,0.187,106.439,3-Apr,0.882,Rap
79152,empty_field,2VCDPSqI8XLw722q3ETiKi,No Brainer,84,0.0733,0.552,-1,0.76,0.0,C,0.0865,-4.706,Major,0.342,135.702,5-Apr,0.639,Rap
42690,Josh A,3QJUvByLFesgWYAgnL8JbA,Rest in Pieces,57,0.168,0.648,-1,0.682,9.17e-05,G,0.12,-7.9,Minor,0.0455,144.922,4-Apr,0.258,Rap
48208,Ludacris,3tQ63109PdE1AsPoSlevDV,Vitamin D,54,0.0169,0.772,261094,0.667,0.0,C#,0.0957,-6.421,Minor,0.129,121.54700000000001,4-Apr,0.358,Rap
42442,Kanye West,3NJG6vMH1ZsectZkocMEm0,Hey Mama,61,0.0572,0.628,304500,0.767,0.0,G,0.105,-6.8839999999999995,Major,0.217,95.936,4-Apr,0.375,Rap
44479,Ludacris,3nX8Rbqxa9xOQY535jXHUP,Money Maker,62,0.177,0.5710000000000001,230613,0.613,0.0,C#,0.21600000000000003,-6.836,Major,0.252,83.31700000000001,4-Apr,0.583,Rap
84502,Tory Lanez,3PRRRSkNfeZmA5xUEUkK2L,Real Thing (feat. Future),61,0.00499,0.6679999999999999,243173,0.508,0.0,G,0.318,-7.502000000000001,Minor,0.35600000000000004,160.225,4-Apr,0.371,Rap
23180,Drake,3qMFOkjMTaIQI2c3qSIynJ,Fireworks,54,0.48,0.649,313280,0.759,0.0,C,0.151,-6.483,Major,0.342,92.06700000000001,4-Apr,0.527,Rap
63203,Childish Gambino,3RMeOetCdXttthQK0clPuz,Les,52,0.006540000000000001,0.524,317293,0.674,9.300000000000001e-05,C#,0.221,-7.037999999999999,Minor,0.0895,102.90100000000001,4-Apr,0.128,Rap
60805,Rich The Kid,3OKlIPoxq8zKbsJLZZUMtb,Too Gone (feat. Khalid),62,0.154,0.6859999999999999,184905,0.6940000000000001,0.0,F#,0.193,-6.212999999999999,Minor,0.193,146.01,4-Apr,0.441,Rap
91348,Wiz Khalifa,3N4IFYvzm6osIaFTqSYymG,Ass Drop,64,0.0136,0.816,166707,0.578,1.2e-05,A#,0.0412,-4.5360000000000005,Minor,0.0986,177.959,4-Apr,0.302,Rap
54094,Breaking Benjamin,3npvw18aQPdA47qlCOJEcn,Blood,67,3.8299999999999996e-05,0.478,189120,0.971,2.7699999999999996e-05,G,0.295,-2.7289999999999996,Major,0.0858,90.52600000000001,4-Apr,0.284,Rap
82842,T-Pain,3o5RfpCMhqCvjR4eWgkXOm,Up Down (Do This All Day),66,0.272,0.763,-1,0.53,0.0,F,0.16,-5.553999999999999,Minor,0.0577,97.03299999999999,4-Apr,0.469,Rap
65592,Russ,3m0pro98is58H4UJfDo7ZE,Serious,70,0.132,0.69,188947,0.635,0.0,C#,0.36200000000000004,-7.624,Major,0.34,144.065,4-Apr,0.569,Rap
49541,Joey Bada$$,3oZKVe0QVMArW3QgaER8rs,LAND OF THE FREE,63,0.466,0.7340000000000001,283690,0.649,0.0,G#,0.11599999999999999,-6.235,Minor,0.313,95.1,4-Apr,0.158,Rap
82834,ScHoolboy Q,3ulipeC36lUvRzPETyFlm9,The Purge,51,0.035,0.622,294053,0.6409999999999999,0.0,A#,0.259,-6.76,Minor,0.46399999999999997,168.326,4-Apr,0.387,Rap
76932,Struggle Jennings,3umS4y3uQDkqekNjVpiRUs,One Shot,48,0.21,0.758,260561,0.7040000000000001,0.0,D,0.25,-5.178999999999999,Major,0.04,?,4-Apr,0.17300000000000001,Rap
70281,BROCKHAMPTON,3ltWs2KzOGjNmV8h3eKir8,FACE,69,0.591,0.945,-1,0.7020000000000001,0.000538,B,0.0788,-5.016,Minor,0.12,119.887,4-Apr,0.6779999999999999,Rap
58428,Meek Mill,2ViAxjf9aF2pgfpXYy0AwM,Dangerous (feat. Jeremih and PnB Rock),74,0.0581,0.763,234589,0.441,0.0,C,0.0458,-8.211,Major,0.256,86.09299999999999,4-Apr,0.5379999999999999,Rap
31842,Pimp C,3SHauocJxTUGDFhcgPA1v1,Knockin Doors Down,50,0.0416,0.7559999999999999,242267,0.7120000000000001,0.0,C#,0.239,-4.308,Major,0.107,80.027,4-Apr,0.21100000000000002,Rap
67234,Huncho Jack,3LXElGcwPZ743Zc1wiBKhG,Motorcycle Patches,71,0.0158,0.87,191410,0.6559999999999999,0.0,G#,0.106,-5.081,Major,0.11699999999999999,162.835,4-Apr,0.41600000000000004,Rap
78797,Logic,3Rhbpb5OUI4BbK580AUpew,Ink Blot,53,0.0356,0.7490000000000001,156293,0.691,6.36e-06,B,0.614,-6.522,Minor,0.0817,144.07399999999998,4-Apr,0.35700000000000004,Rap
41221,Ari Lennox,3QhL4eWBVv64IycG3i9XTb,40 Shades of Choke,62,0.619,0.733,-1,0.508,0.004520000000000001,F,0.0491,-7.962000000000001,Major,0.461,?,4-Apr,0.867,Rap
