instance_id,artist_name,track_hash,track_name,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,obtained_date,valence,music_genre
80196,empty_field,7mIn6sL3Q4jN4dUFmw4soV,Run,61,0.00301,0.48100000000000004,222760,0.938,0.000153,B,0.0859,-4.7589999999999995,Minor,0.0781,134.96200000000002,4-Apr,0.35700000000000004,Rock
64773,Eagles,4y7rZ7vzfEqsgd591u8qXm,Wasted Time - Eagles 2013 Remaster,55,0.418,0.431,296172,0.174,9.740000000000001e-05,C,0.109,-11.373,Major,0.0351,117.56299999999999,4-Apr,0.14400000000000002,Rock
39118,St. Lucia,7jcIpbvFvDWV3E8IRhQBE9,Dancing On Glass,62,0.0189,0.564,246333,0.945,0.0,C#,0.359,-4.705,Major,0.0493,101.00299999999999,4-Apr,0.39899999999999997,Rock
65039,BØRNS,4ZkrLO5keEPgoMQQcIHlsr,The Emotion,56,0.212,0.418,224787,0.688,0.009640000000000001,B,0.705,-5.515,Major,0.0265,150.03,4-Apr,0.319,Rock
52257,The Black Keys,4zdlUKHnVCzNohsF4mWl3r,Too Afraid To Love You,49,0.0156,0.531,204733,0.6759999999999999,0.0028699999999999997,B,0.0988,-6.172999999999999,Minor,0.0299,136.759,4-Apr,0.544,Rock
34995,Panic! At The Disco,5huA9m9CJ56zZoTDrMFrtm,LA Devotee,73,0.00043,0.49,196520,0.848,8.49e-06,A,0.0665,-5.05,Major,0.0645,175.998,4-Apr,0.698,Rock
68662,Mötley Crüe,7IgC0NgE7WFerGSGtimXYA,Wild Side,62,0.00742,0.596,281960,0.8959999999999999,0.00057,C,0.37200000000000005,-4.635,Major,0.0382,115.09200000000001,4-Apr,0.456,Rock
52042,PVRIS,4yugZvBYaoREkJKtbG08Qr,You and I,57,0.0412,0.52,270000,0.8270000000000001,0.0235,A#,0.0999,-7.225,Minor,0.0514,101.99,4-Apr,0.41100000000000003,Rock
88856,TobyMac,51oI5GoOSs1o50Eydg1dVI,Move (Keep Walkin’),55,0.266,0.7070000000000001,221626,0.6940000000000001,1.04e-06,F,0.28300000000000003,-5.381,Minor,0.0329,115.993,4-Apr,0.518,Rock
50414,Miranda Lambert,4y4m6PIm8uKhcPqwFbO0sC,Little Red Wagon,56,0.0297,0.584,204387,0.813,0.000197,F#,0.272,-7.221,Major,0.0582,95.081,4-Apr,0.774,Rock
